request,SearchScreeningEvent
What are the movie schedule at Malco Theatres,1
I want to get the movie schedule,1
Show me movie time for I Am Sorry  at my movie house,1
Find time for Trouble for Two in one minute at Landmark Theatres,1
Please show me the movie schedule for movies playing in the neighborhood.,1
What are the time for movies playing at Star Theatres?,1
What time are the animated movies playing at Mann Theatres?,1
I'm wondering what cinema is playing Peters baby.,1
i want the movie schedules for movies around here,1
What movies are playing at the nearest movie house,1
find Wild at Heart,1
She me the movie times,1
What movie theatre is playing Sherlock Holmes and Dr. Watson fifteen hours and one minute from now,1
What is the local movie times,1
find a movie house showing Cage Without a Key,1
What time is are movies at the closest movie theatre,1
Find the nearest movie house that's showing movies,1
find some close by movies,1
where is Wild America showing at zero P.M.,1
I'd like to see Snowball Express,1
find movie schedules at Goodrich Quality Theaters,1
When is Beyond My Reach scheduled at the nearest cinema?,1
Find the schedule for films at Cobb Theatres.,1
find 16 starting time for Heavenly Body,1
What animated movies are playing close by at four o'clock?,1
Find the movie schedule for films in the area.,1
What AMC Theaters is The Red Dance playing at?,1
show movie times at Megaplex Theatres,1
What is the movie schedule at the Fox Theatres,1
find movie times,1
give me the movie schedule,1
Find me Third Man on the Mountain at a cinema,1
I'd like to watch The Utopian Society,1
can you give me the movie times,1
What time is A Ball at the Anjo House playing,1
What is the closest movie theatre that is playing animated movies,1
Check movie schedules and find which animated movies are being aired in the neighborhood movie halls.,1
Find the schedule for The Voice in the Fog at night at the closest movie house.,1
When is Barbary Coast playing?,1
is Terminal Station at Cinemark Theatres,1
I'd like to watch Sherlock Holmes à New York at KB Theatres,1
What time is movies playing around here,1
Show me the movie schedule for Caribbean Cinemas,1
Show me the movie schedules for Santikos Theatres.,1
Is Live Forever: The Rise and Fall of Brit Pop playing at the closest cinema in 1 minute,1
Check which cinema currently runs When the Last Sword is Drawn.,1
find a movie house with Colic: The Movie that is nearest,1
Tell me what films are currently playing at AMC Theaters,1
find movies with movie schedules in the neighborhood,1
what movie theatre is showing If the Huns Came to Melbourne,1
What films and movie times are close by,1
find National Amusements showing The Sea Is Behind,1
show movie times,1
Is The Swan available to watch at the movie house now?,1
is Traffic at the movie theatre,1
Find time for the movie schedule at Cineplex Odeon Corporation,1
What time is Kerasotes Theatres playing animated movies,1
find The Flying Ace,1
is Transcending Fear at Malco Theatres,1
Can you give me a local and current movie schedule ,1
Where is the nearest movie house that is playing Teaching to See,1
closest movie theatre with No Time for Sergeants,1
where is Beyblade: Fierce Battle playing,1
when is Hefner: Unauthorized showing at Magic Johnson Theatres,1
what's the closest movie house showing animated movies,1
find a nearby movie schedule for movies,1
Showtimes for Medal for the General,1
When is His English Wife showing at the Neighborhood Cinema Group?,1
What time is The Count playing,1
find animated movies in the neighborhood,1
Can you tell me what time The Fickle is playing at the closest cinema,1
show movie schedules at Megaplex Theatres,1
what's the nearest movie theatre showing movies,1
please give me the movie schedule,1
i want to watch animated movies at Showcase Cinemas,1
find The Broken,1
where is the nearest movie theatre showing movies,1
find Three in the Attic,1
What is the movie schedule for animated movies in the area,1
Can you give me the movie schedules at Mann Theatres?,1
give me the movie schedule for animated movies showing in the neighborhood,1
When is Longwave going to be playing?,1
Find the movie schedules for me,1
find Vegucated starting at zero pm,1
What time will Where the Breakers Roar be playing?,1
I'd like to watch Dirty Laundry at the movie house ,1
I want the movie schedule for animated movies in the area ,1
Is The Tender Years at the nearest movie theatre,1
Find the schedule for The Band of Honest Men at the nearest movie theatre.,1
Show me the movie schedule,1
I'd like to watch films at the nearest cinema at 8 am,1
Find the movie times for animated movies around here.,1
showtimes for movies currently playing at Speakeasy Theaters,1
can you find me a showing for Before the Music Dies in one second ?,1
Find the movie schedules for Cobb Theatres.,1
What is the movie schedules for the Harkins Theatres,1
find movie times,1
what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40,1
find a cinema closest with animated movies,1
Show me movie times at Cooper Foundation.,1
find movie times for films close by,1
"movie schedules at AMC Theaters
",1
Please tell me movie times,1
show movie schedules close by movies,1
What time will In the Name of the Son be playing?,1
Which movies are playing at the nearest cinema at twelve PM?,1
is Dishyum at the cinema,1
Show me movie schedules,1
Let me get the movie schedule for lunch time.,1
What movies are playing in the area ,1
Find the schedule for films at Century Theatres.,1
when can i see A Handful of Dust in a movie theatre,1
Which movies are playing at the closest cinema?,1
what's the movie schedules for in the neighborhood at the movies,1
Show me movie times for animated movies playing three hours from now in the neighbourhood.,1
What are the movie times for films playing in the area?,1
List movie schedule,1
show me movies in the area,1
Which animated movies are showing at the Neighborhood Cinema Group?,1
What films are playing at the nearest movie theatre,1
What time is film showing at Southern Theatres,1
Find movie times for Alamo Drafthouse Cinema at 10:37 P.M..,1
What time is I Know That You Know That I Know lpaying,1
Show me the films currently playing at the nearest movie theatre,1
show the movies at the nearest movie house,1
What cinema is The Railway Children,1
What are the movie times for movies around here,1
Where is The Beach of Lost Children playing,1
I'd like to see the showtimes for Silly Movie 2.0 at the movie house,1
11 seconds from now find a cinema with First Monday in October,1
Is The King of the Kitchen playing in fifteen hours?,1
What movies are going to be screened at Caribbean Cinemas at fourteen o'clock?,1
What time is Goodbye Mothers playing?,1
show movie times for AMC Theatres,1
What movie times start in 22 seconds at Magic Johnson Theatres,1
find films at Showcase Cinemas,1
is The Couch Trip at the nearest cinema,1
What time is High Tide at Noon showing,1
What time is Chandranath playing MJR Theatres,1
What are the movie schedules for the Dipson Theatres,1
What time is Death Nurse showing,1
What is the movies playing at North American Cinemas,1
What time is Swarna Trishna playinh at Loews Cineplex,1
find animated movies nearest at a movie house,1
What is the local movie schedule,1
find films in Cinemark Theatres,1
What time are movies showing around here,1
When is Romance on the Range playing at movie house?,1
What films are being shown at the National Amusements,1
Where animated movies does North American Cinemas feature,1
find the nearest movie theatre with The Witness Chair,1
When is The Prince Who Was a Thief playing at the cinema?,1
Find the schedule for The Solitude of Prime Numbers at the nearest cinema in 1 hour .,1
What movie schedules start at sunset?,1
Let me see the movie schedule for Seed of Chucky,1
movie schedules of movies in the neighbourhood at zero am,1
show movie times at sunrise,1
Show me the films at the closest cinema,1
find movies around here,1
show the movie schedule for 9 pm  at Cobb Theatres,1
Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,1
What are the movie schedules for Speakeasy Theaters,1
What is the movie schedule for movies in the neighborhood,1
find The Dead Matter at Speakeasy Theaters,1
I'd like to watch May Blossom,1
What movies are playing at the closest movie theatre,1
I'd like to watch A Storm in the Stars at North American Cinemas,1
What time is The Grey Zone playing?,1
Will I be able to watch Camping-car at movie house at 6 pm?,1
What's the nearest movie theatre playing Testament of Orpheus?,1
find animated movie at Landmark Theatres,1
Give me the movie times for Fox Theatres,1
I'd like to watch animated movies at National Amusements,1
I'd like to watch Apocalypse 2024,1
I'd like to see Forgetting the Girl.,1
When is Blood and Ice Cream-trilogie playing at the nearest movie theatre?,1
show movie schedules,1
When is Bless the Child playing at the movie theatre,1
show movie schedule of films in the area,1
Find the movie schedule.,1
Where is White Bim Black Ear,1
She me movie times,1
