request,RateBook
"rate The Lotus and the Storm zero of 6
",1
Rate The Fall-Down Artist 5 stars.,1
Rate the current novel one points,1
rate The Ape-Man Within 4,1
I give The Penalty three stars,1
"rate this novel a 4
",1
"give 5 out of 6 points to Absolutely, Positively Not series",1
"I give Emile, or On Education five points.",1
rate Licence Renewed a 4,1
Give this essay a 2 out of 6.,1
A rating of 5 of 6 points goes to Dickson McCunn trilogy,1
"rate Beyond the Shadows 3 of 6
 stars",1
Give 2 out of 6 points to the following textbook.,1
the previous textbook is a 3,1
Rate this album zero of 6 ,1
rate in stars as a 6 for Lord of the Shadows which gets a four,1
"Rate Small Screen, Big Picture a 0 out of 6.",1
give 0 stars to this textbook,1
Rate the current novel a 0 out of 6 points,1
give this book a rating of 3 ,1
Rate the Tropic of Cancer book a 2 out of 6,1
I would give this current textbook five points or a rating of 6,1
give The Judas Tree a zero,1
I am rating this book titled The Billion Dollar Ransom 3 stars.,1
I would give Sixty Lights chronicle a rating of five and a best rating of 6,1
rate this book titled Cold two stars,1
I want to rate this current series a value of five and a best rating of 6,1
Rate the current book a zero of 6,1
Rate this novel 1 of 6,1
I would rate this chronicle 4 stars,1
Give A Human Being Died That Night 3 stars ,1
I'm rating The Skystone with three points,1
rate this current saga 3 out of 6 points,1
Rate the Wild Boy series 3 out of 6 stars,1
Rate this album a one.,1
Rate the Glory Season three stars,1
Give this textbook 5 points,1
give two stars to current album,1
Rate the current saga a five,1
give 0 rating to She and Allan book,1
Rate the current series a one,1
I want to give this album 3 points,1
rate The Cry of the Owl a four,1
A novel of this quality deserves your rating of four points,1
I gave Joseph Andrews a 0 out of 6,1
Give zero / 6 stars to the current album,1
I want to give this album zero out of 6 stars,1
Swine Not? deserves four points,1
I rate Naked in Death a 5,1
give the current series 3 points,1
the next album is only one stars,1
Rate this book three points,1
"rate this novel a 3
",1
Rate The Keys to the White House a zero,1
Rate An Act of Terror 2 stars.,1
I'm rating The Skystone with three points,1
rate Call for the Saint 1 out 6 points,1
Rate Merlin Effect a 0 ,1
Give this album three out of 6 points,1
The Last Hawk gets a total of 3 out of 6 stars from me,1
0 stars for this textbook ,1
Rate the current series a one.,1
"I rate American History: A Survey a 5
",1
Give this current novel a 4.,1
give this current novel a three,1
the stars for this are 4 for a textbook,1
rate the current chronicle book three points,1
rate The Bunce 1 stars,1
give this textbook a rating of 3,1
"Another Girl, Another Planet gets only one of a possiable 6 rating",1
Rate this  textbook 2 of 6 stars,1
I give The Spirit of St. Louis a 1,1
Rate the book Post Office four points,1
give 5 rating for this textbook,1
I give this next essay zero out of 6 points,1
