request,PlayMusic
I need to hear the song Aspro Mavro from Bill Szymczyk on Youtube,1
play Yo Ho from the new york pops on Youtube,1
Play some seventies music by Janne Puurtinen on Youtube.,1
play the MГєsica Da SГ©rie De Filmes O Hobbit album by Alex Otaola,1
Play Magic Sam from the thirties,1
Play The Soft Parade.,1
Play music by blowfly from the seventies,1
play Jeff Pilson on Youtube,1
play a tune by Syreeta Wright from twenties from the top,1
Please play me Jerry Lee Lewis's If You Say So track.,1
play the newest by Exuma,1
Play the album alas y raГ­ces by Dave Pybus.,1
play music by Helen Ward,1
Play some sixties music.,1
Plan an album by Roni Duani.,1
I want to listen to Born On The Bayou on Iheart,1
Play the best music by Arthur Johnston.,1
Play the song gangsta? by Siavash Ghomayshi,1
Play Lukasz Gottwald album on Zvooq,1
Play me some music by Prince Alla from the twenties,1
Play the newest 2016 ep from Boaz Mauda.,1
play Escapada,1
"I'd like to hear music from 1951, preferably a soundtrack.",1
Play 2003 Ben Burnley on Spotify,1
Play Marche Lorraine by Rachael Lampa,1
Play some soul music,1
Play Robin Hood Rescuing Three Squires by Bhupinder Singh,1
Play the top-5 songs from Paddy Reilly on zvooq,1
Open Groove Shark and play native us,1
play chant by Prurient,1
play Shake Your Head,1
Play Justin Broadrick's music on Slacker.,1
Play some 1954 songs on my Itunes.,1
Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm.,1
play laura love songs from 1959,1
Play Inside The Eye by twinkie clark,1
Play Goa music on Google Music.,1
Play The Way It Has To Be by Tom G Warrior on Zvooq,1
Play some nineties chant music from Nicoleta Nicola,1
"Play Alone, Again from Mike Viola",1
open Spotify and play a couple of celtic songs,1
Play a concerto by Thekra.,1
play The Trail Of The Lonesome Pine on Netflix,1
Please play the newest music by Evil Jared Hasselhoff,1
Play NoctГЎmbulo pl,1
Open up Lastfm and play some songs.,1
Can you play a top 5 song by Manos Hadjidakis,1
Play sixties on Spotify,1
Play music by Antonella Barba from the album Bath,1
Play melody music from the fourties.,1
Play some Katiejane Garside on Vimeo.,1
Play me a top-ten song by Phil Ochs on Groove Shark,1
Play Out From Under from Hurricane Chris,1
Play a sound track by Pee Wee Russell on Zvooq.,1
Play One Way Ticket by Ray Kennedy.,1
Play my entertaining playlist,1
Will you pull up my Jueves de AntaГ±o playlist,1
Play some eighties movement music,1
Use Spotify to play me music,1
use Deezer to play top five Moya Brennan,1
I'd like to hear Nas's greatest ballad,1
Open Netflix and find a movie with the song heartful,1
PLay some fourties music from Erin Harkes,1
Play dhafer youssef top-twenty on netflix,1
I'd like to play the top ten Mickdeth on Google Music,1
play music by Don Reno,1
Play some Last Fm music like the 1992 ep from Peaches,1
Play some indie music on spotify.,1
Play a cohesive playlist for me,1
Play 1966 theme music on Slacker.,1
Play some jpop on Google Music.,1
Play music from 2002,1
play Lastfm pop tunes,1
play a concerto that was most popular in 1958 by mickey hart,1
Let me listen to Rouhollah Khaleghi on deezer.,1
Please play music from Itunes,1
Play me the most popular Peja song on Slacker,1
Play my 70s Smash Hits playlist.,1
Play me a song from the fourties,1
Play celtic music,1
play Moustapha Amar Make It Rain,1
I want to hear a top ten soundtrack from 1984 by Shinehead,1
Play the 1951 ballad,1
I want to hear Dave Seaman's ep,1
Play music from artist Ashley,1
play Miguelito top charting album,1
I want to hear Papa Mali's songs from the fifties,1
play some tango on iheart,1
Play jazz music by Zvooq,1
play songs by Wise,1
Play music from the eighties on Slacker.,1
I want to hear Ready by Frankenstein Drag Queens From Planet 13,1
Play a song from the seventies by Pepe Aguilar,1
Play something by Brian Chase.,1
open Fadl Shaker on Spotify and play a melody starting with the newest,1
Play a Scott Lafaro soundtrack,1
play songs from the sixties,1
Play a tune from Space Mandino.,1
Open Vimeo and paly every song released in 1986,1
