request,RateBook
Rate All That Remains a five,1
Give this album 4 points,1
Give The Best Mysteries of Isaac Asimov four stars out of 6.,1
Rate this current novel 1 out of 6 points.,1
Give this textbook 5 points,1
Give this series 0 out of 6 stars,1
Rate The Ultimate Solution two out of 6 points,1
Give this essay four stars out of 6.,1
rate The Braindead Megaphone series zero out of 6 points,1
Rate The Change 0 out of 6 points,1
rate this series 5 out of 6 stars,1
Give a 4 rating to Faber Book of Irish Verse,1
I would like to give the current textbook a rating of three out of 6.,1
Give The Starmen four out of 6 stars,1
Rate The Loneliness of the Long Distance Runner 0 points out of 6,1
Give the current album 1 star,1
rate this essay a 1,1
Give this series 3 stars,1
give 2 out of 6 points to this book,1
Give zero stars to The Skeptical Environmentalist saga,1
Rate the current novel one out of 6,1
Give the current essay 1 star,1
The Execution of Justice only deserves 2 points,1
Rate this textbook a five,1
Give one points of 6 to Death in the City of Light,1
Give this novel 5 stars,1
give the current album a score of five out of 6,1
Give White House Diary two points,1
mark the current textbook a 1 from the total of 6,1
Give the current series two stars.,1
Give 5 out of 6 stars to Learning Perl,1
Give 0 out of 6 stars to the current saga,1
Give The Diamond Chariot a 0 out of 6.,1
Give Poop: A Natural History of the Unmentionable 4 of 6 stars,1
Give A History of the Mind a 2 out of 6 points.,1
Rate this novel 3 out of 6 points.,1
Give the current essay five points out of 6.,1
Give five out of 6 stars to The Plucker,1
Give this essay 1 stars out of 6,1
I would say Dead Wood was three stars,1
award my current album two stars out of 6,1
rate this essay 3 out of 6 points,1
the current book I'm reading should be rated zero out of 6,1
Rate Gota's War a one,1
rate The Adventures of Mr. Nicholas Wisdom a 1 out of 6,1
Rate The Slap five of 6,1
Give 0 out of 6 stars to the current novel,1
Give Eight Days of Luke a rating of five.,1
Give the current novel three stars,1
Give The Blue Equinox series 5 points,1
I want to rate The Obama Syndrome zero of 6,1
give Under the Sign of Saturn a four out of 6,1
rate this book a 4 out of 6,1
"give The God Machine two of 6
 points",1
Give After the First Death a 2 out of 6 points rating.,1
Rate The CIA and the Cult of Intelligence a 5.,1
I would like to rate The Hundred-Year Christmas four stars.,1
Give The Sacred Fount 3 of 6 stars,1
Set my rating for this chronicle to 0 stars,1
Rate the current essay four out of 6.,1
Rate this album a 1 out of 6,1
rate this textbook a 5,1
Give 5 of 6 points to The Man from Barbarossa,1
I think this novel should get a 3 out of 6,1
Give the current textbook a one out of 6 rating.,1
Give four stars to the current textbook,1
Rate the current essay four out of 6.,1
Give Three Junes one point out of 6.,1
Give Chater's Annual a two out of 6 rating.,1
Give five points to The Good Daughter book,1
Rate The Silent Speaker four out of 6,1
Give The Lost Princess 3 stars.,1
rate this chronicle one out of 6 points,1
Give this novel four stars,1
rate the current book two stars,1
Rate the current textbook a two,1
"Rate Ehi, prof! a one out of 6",1
Rate the current novel four of 6 stars,1
Rate the current book a zero.,1
Give this essay 4 stars,1
Rate She Returns to the Floating World 4 out of 6 stars.,1
rate this chronicle two points,1
rate the current novel a 0 of 6,1
Give the current album a 4 out of 6.,1
Give this novel four of 6 points,1
Give this current series a rating of one.,1
give this textbook a four,1
Rate Making Sense of Marx 2 stars.,1
Give this album 2 points.,1
I'd like to give The Harder They Come two points,1
Give the current essay 5 out of 6 stars,1
this album deserves a 0 out of 6,1
rate this series zero out of 6 stars,1
Give 4 stars to the current essay,1
please give a 2 out of 6 to House of Many Ways,1
Give Twisted Souls 1 out of 6 points,1
Give this book a rating of 2 points.,1
Give this current saga a rating of four points.,1
rate this novel four stars,1
Rate Hurricane Punch two out of 6.,1
mark The Final Battle score two out of 6,1
Give 50 Reasons to Hate the French a rating of 3.,1
Give the current essay five points.,1
Rate The Bell Curve a three.,1
"Give Enemies, A Love Story 4 points out of 6",1
I'd rate this novel a two,1
Give four stars to Windswept House: A Vatican Novel,1
rate On the Road a five,1
Give Honor Girl zero of 6 stars,1
rate the current essay a one,1
Give The Game of Silence 3 points,1
Give the current novel two points out of 6,1
