request,SearchScreeningEvent
Find movie times for Landmark Theatres.,1
What are the movie times for Amco Entertainment,1
what films are showing at Bow Tie Cinemas,1
Show me the movies close by,1
I want to see The Da Vinci Code,1
Show me movie times at the Pacific Theatres for The Hot Rock,1
Tell me the closest movie house playing Black Rage,1
Is My Own True Love playing,1
What are the movie schedules for Kerasotes Theatres,1
Check the movie timings for Cracked Nuts at Southern Theatres.,1
Is it possible to see Riddick at Consolidated Theatres,1
What films are playing at the closest movie house,1
Is The Wash playing at the cinema in one minute,1
Give me the movie schedule for The Loners at MJR Theatres.,1
Show the times for animated movies in the nearest movie house,1
Find the movie schedule close by,1
What are them movie times,1
Find the schedule for A Kiss Before Dying.,1
Find the schedule for animated movies nearby,1
When is The Grip of Iron playing,1
Give me Pacific Theatres movie schedules,1
where is the nearest movie theatre showing movies,1
What is the 7 A.M. movie schedules at Amco Entertainment,1
Find the movie times at National Amusements.,1
I need the films names that are playing in the closest movie house,1
What AMC Theaters is The Red Dance playing at?,1
Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,1
Is AMC Theaters showing Crime on the Hill?,1
Is Worms Will Turn running at any movie hall?,1
what day does the movie Star of the Circus play at ten PM,1
Find the schedule for Metallica Through the Never.,1
I need movie times at United Paramount Theatres,1
Is Mark of the Cop showing in the closest movie theatre,1
Check which cinema currently runs When the Last Sword is Drawn.,1
When doesFun 2shh: Dudes in the 10th Century start at the closest movie theatre.,1
I would like to see a movie at the nearest movie house.,1
Find the movie schedule.,1
when is Interview: The Documentary playing in Loews Cineplex,1
"I want to see Death Carries a Cane at the closest movie theatre, what times will it be showing?",1
I need movie schedules,1
Find the movies at the nearest cinema.,1
Is The Country Doctor on the schedule at any theater near me?,1
where is No Sleep til Shanghai showing in three hours from now,1
Are any films play at the Santikos Theatres,1
What is showing at twelve P.M. in the closest movie house,1
Find the movie times at Bow Tie Cinemas.,1
Find the closest movie theatre with animated movies in 21 hours,1
Is Winged Victory showing anywhere in one minute?,1
show me the schedule of movie Thirty Two Short Films About Glenn Gould in 14 minutes,1
When is Painless Love playing in the Neighborhood Cinema Group,1
Give me the movie schedule for Cineplex Odeon Corporation,1
When is Brick showing,1
Where will The Blonde from Peking be playing,1
Is there any way to see Tailspin Tommy in the Great Air Mystery,1
Find the schedule at Southern Theatres.,1
What movies are playing at Loews Cineplex?,1
I want to find out when Midnight Club is playing,1
Can I get the movie schedule for Douglas Theatre Company,1
what movies are playing at Warren Theatres,1
Find the movie schedules for Cobb Theatres.,1
Will you show me the movies playing around here?,1
Circle of Iron in the closet cinema,1
Find animated movies in the neighborhood.,1
Is Storm Warning playing,1
Are there any animated movies playing at the closest cinema?,1
What is the movie schedule for Marcus Corporation,1
What movies are playing at the closest movie theatre,1
when is The Statue showing ,1
Is The Love Guru playing ,1
when is Letters from a Porcupine showing at Alamo Drafthouse Cinema,1
What times will Escape from Hong Kong be showing?,1
"I want to see The Happy Thieves at Marcus Corporation, can you show me movie times",1
Are there any movies playing at 5 am at North American Cinemas?,1
Find the schedule for Stacey.,1
When is The Tale of the Fox playing near me,1
What films are showing at Magic Johnson Theatres.,1
Can I get the movie schedule for ArcLight Hollywood,1
Give me movie times,1
What are the animated movies playing nearby,1
What movies are at Caribbean Cinemas,1
Is Sheikh Chilli playing,1
What is the nearest movie theatre showing OceanвЂ™s 13?,1
Find the schedule for The Voice in the Fog at night at the closest movie house.,1
Check movie schedules and find which animated movies are being aired in the neighborhood,1
where can i watch animated movies around here,1
Show me the movie times ,1
Is Millions in the Air playing at the cinema,1
"Is Love, Marilyn playing",1
What times is 7 Faces of Dr. Lao showing at United Paramount Theatres,1
