AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent,request
1.0,0.0,0.0,0.0,0.0,0.0,0.0,"add Stani, stani Ibar vodo songs in my playlist mГєsica libre"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add this album to my Blues playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the tune to the Rage Radio playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add WC Handy to my Sax and the City playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add BSlade to women of k-pop playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add the current tune to my Rock Gaming playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add villotta to The MetalSucks Playlist playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add Bronislau Kaper to the drive playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add the artist joseph meyer to my mad cool festival 2017 playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the avispa track to my Bass Gaming playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add bob klose to la mejor mГєsica para tus fiestas 
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add como un tatuaje to my hits of the 70s playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add this tune to the sylvia plath playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add an album in Guitar Hero Live Playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add Chris de Burgh in my playlist melancholia
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add John Tesh to my salsa classics playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add the current tune to my Six string peacefulness playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the track to my workout playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the album to my Heavy Gamer playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add an album in my playlist In The Name Of Blues
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add bang a drum to my cleaning playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the track to the bandas sonoras playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the track to my romantic evening playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add decade in the sun best of stereophonics to laundry.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,I'd like to put qriii onto songs to sing in the car.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,"add Dunja, du to my ejercicio playlist"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Please put maimi yajima's song onto OperaciГіn Bikini.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,"add artist in my
 Top 100 Rock Tracks on Spotify"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the artist Jurij Szewczuk to tisha's soul revived playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add Fair Charlotte to the We Everywhere playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add Masahiro Nakai track in playlist Modern Psychedelia
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the song to the soundscapes for gaming playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,A Shawnna to the Warm Hearts Feel Good playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add Come on Feel the Lemonheads to my salsa classics playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the artist to my Duetos.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add Elvis Presley and America in my playlist Electro Workout
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add Rattus at the Roundhouse to my funk playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add this artist to my Noche de chicas playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add pump-pump to my this is zezГ© di camargo & luciano playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add a tune to my playlist girls' night
1.0,0.0,0.0,0.0,0.0,0.0,0.0,I want to add Ottagathai Kattiko to the women of classical playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the artist to my Metal playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the current artist to my extreme metal workout playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add dear hearts and gentle people to he Tokyo Rising playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add the man who never lied to my current comedy top tracks
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add Michael Penn songs in my playlist Calm before the storm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Please add james house to bleeps & bloops
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Please put this song onto my Urban Hits playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add the artist to my classical feast playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Please add this artist to TODO NOVEDADES
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add doctor lawyer indian chief to my playlist Synth Pop
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Can you put Musiri Subramania Iyer's song onto the lo-fi love soundtrack?
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add sp balasubrahmanyam to my rockabilly mania playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Add a tune by gene summers to family road trip in my playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,I'd like to put RyЕЌ Yamazaki onto my sylvia plath playlist.
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add How to sos 48 2016 playlist
1.0,0.0,0.0,0.0,0.0,0.0,0.0,add this track to krystal's piano 100
