index	sentence1	sentence2
0	The cat sat on the mat.	The cat did not sit on the mat.
1	The cat did not sit on the mat.	The cat sat on the mat.
2	When you've got no snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow.	When you've got snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow.
3	When you've got snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow.	When you've got no snow, it's really hard to learn a snow sport so we looked at all the different ways I could mimic being on snow without actually being on snow.
4	Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player.	Out of the box, Ouya doesn't support media apps such as Twitch.tv and XBMC media player.
5	Out of the box, Ouya doesn't support media apps such as Twitch.tv and XBMC media player.	Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player.
6	Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player.	Out of the box, Ouya supports Twitch.tv and XBMC media player.
7	Out of the box, Ouya supports Twitch.tv and XBMC media player.	Out of the box, Ouya supports media apps such as Twitch.tv and XBMC media player.
8	Considering this definition, it is surprising to find frequent use of sarcastic language in opinionated user generated content.	Considering this definition, it is not surprising to find frequent use of sarcastic language in opinionated user generated content.
9	Considering this definition, it is not surprising to find frequent use of sarcastic language in opinionated user generated content.	Considering this definition, it is surprising to find frequent use of sarcastic language in opinionated user generated content.
10	The new gaming console is affordable.	The new gaming console is unaffordable.
11	The new gaming console is unaffordable.	The new gaming console is affordable.
12	Brexit is an irreversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.	Brexit is a reversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.
13	Brexit is a reversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.	Brexit is an irreversible decision, Sir Mike Rake, the chairman of WorldPay and ex-chairman of BT group, said as calls for a second EU referendum were sparked last week.
14	We built our society on unclean energy.	We built our society on clean energy.
15	We built our society on clean energy.	We built our society on unclean energy.
16	Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.	Pursuing a strategy of violent protest, Gandhi took the administration by surprise and won concessions from the authorities.
17	Pursuing a strategy of violent protest, Gandhi took the administration by surprise and won concessions from the authorities.	Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.
18	Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.	Pursuing a strategy of protest, Gandhi took the administration by surprise and won concessions from the authorities.
19	Pursuing a strategy of protest, Gandhi took the administration by surprise and won concessions from the authorities.	Pursuing a strategy of nonviolent protest, Gandhi took the administration by surprise and won concessions from the authorities.
20	And if both apply, they are essentially impossible.	And if both apply, they are essentially possible.
21	And if both apply, they are essentially possible.	And if both apply, they are essentially impossible.
22	Writing Java is not too different from programming with handcuffs.	Writing Java is similar to programming with handcuffs.
23	Writing Java is similar to programming with handcuffs.	Writing Java is not too different from programming with handcuffs.
24	The market is about to get harder, but not impossible to navigate.	The market is about to get harder, but possible to navigate.
25	The market is about to get harder, but possible to navigate.	The market is about to get harder, but not impossible to navigate.
26	Even after now finding out that it's animal feed, I won't ever stop being addicted to Flamin' Hot Cheetos.	Even after now finding out that it's animal feed, I will never stop being addicted to Flamin' Hot Cheetos.
27	Even after now finding out that it's animal feed, I will never stop being addicted to Flamin' Hot Cheetos.	Even after now finding out that it's animal feed, I won't ever stop being addicted to Flamin' Hot Cheetos.
28	He did not disagree with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership.	He agreed with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership.
29	He agreed with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership.	He did not disagree with the party's position, but felt that if he resigned, his popularity with Indians would cease to stifle the party's membership.
30	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected.	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would not be unexpected.
31	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would not be unexpected.	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected.
32	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected.	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would be expected to negatively impact the pipeline results.
33	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would be expected to negatively impact the pipeline results.	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected.
34	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected.	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would not be unexpected for it to negatively impact the pipeline results.
35	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, it would not be unexpected for it to negatively impact the pipeline results.	If the pipeline tokenization scheme does not correspond to the one that was used when a model was created, a negative impact on the pipeline results would be expected.
36	The water is too hot.	The water is too cold.
37	The water is too cold.	The water is too hot.
38	Falcon Heavy is the largest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s.	Falcon Heavy is the smallest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s.
39	Falcon Heavy is the smallest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s.	Falcon Heavy is the largest rocket since NASA's Saturn V booster, which was used for the Moon missions in the 1970s.
40	Adenoiditis symptoms often persist for ten or more days, and often include pus-like discharge from nose.	Adenoiditis symptoms often pass within ten days or less, and often include pus-like discharge from nose.
41	Adenoiditis symptoms often pass within ten days or less, and often include pus-like discharge from nose.	Adenoiditis symptoms often persist for ten or more days, and often include pus-like discharge from nose.
42	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite difficult to see the exaggerated positive sentiment used in order to convey strong negative feelings.
43	In example (1) it is quite difficult to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.
44	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite easy to see the exaggerated positive sentiment used in order to convey strong negative feelings.
45	In example (1) it is quite easy to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.
46	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite important to see the exaggerated positive sentiment used in order to convey strong negative feelings.
47	In example (1) it is quite important to see the exaggerated positive sentiment used in order to convey strong negative feelings.	In example (1) it is quite straightforward to see the exaggerated positive sentiment used in order to convey strong negative feelings.
48	Some dogs like to scratch their ears.	Some animals like to scratch their ears.
49	Some animals like to scratch their ears.	Some dogs like to scratch their ears.
50	Cruz has frequently derided as "amnesty" various plans that confer legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as "amnesty" various bills that confer legal status or citizenship on people living in the country illegally.
51	Cruz has frequently derided as "amnesty" various bills that confer legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as "amnesty" various plans that confer legal status or citizenship on people living in the country illegally.
52	Most of the graduates of my program have moved on to other things because the jobs suck.	Some of the graduates of my program have moved on to other things because the jobs suck.
53	Some of the graduates of my program have moved on to other things because the jobs suck.	Most of the graduates of my program have moved on to other things because the jobs suck.
